,postcode,locality,Long_precise,Lat_precise,distance,duration
6443,3109,DONCASTER EAST,145.1541397,-37.7883929,134424.2,6302.0
6444,3109,DONCASTER HEIGHTS,145.1580383,-37.7887436,132108.3,6312.7
6445,3109,THE PINES,145.1686291,-37.7622651,135074.7,6642.6
6446,3109,TUNSTALL SQUARE PO,145.17,-37.7904,131559.7,6258.2
6447,3111,DONVALE,145.1872619,-37.7901921,130988.7,6262.8
6448,3113,NORTH WARRANDYTE,145.216,-37.726,138678.5,6972.4
6449,3113,WARRANDYTE,145.223,-37.738,135927.6,6773.6
6450,3114,PARK ORCHARDS,145.2148736,-37.7760752,131724.7,6352.2
6451,3115,WONGA PARK,145.2590707,-37.7347069,137324.5,6781.1
6452,3116,CHIRNSIDE PARK,145.3088196,-37.7373267,140356.9,6966.1
6453,3121,BURNLEY,145.0126479,-37.8296728,133162.9,6257.9
6454,3121,BURNLEY NORTH,145.0089483,-37.8160149,135335.8,6551.7
6455,3121,CREMORNE,144.993,-37.83,135724.0,6457.3
6456,3121,RICHMOND,144.998,-37.823,135269.1,6526.5
6457,3121,RICHMOND EAST,144.9972757,-37.8263413,135221.1,6528.2
6458,3121,RICHMOND NORTH,144.9924115,-37.8103629,137797.6,6755.9
6459,3121,RICHMOND SOUTH,144.998,-37.823,135269.1,6526.5
6460,3121,VICTORIA GARDENS,145.012,-37.8132,136324.5,6678.6
6461,3122,AUBURN SOUTH,145.0438836,-37.8297567,131769.6,6212.5
6462,3122,GLENFERRIE SOUTH,145.034,-37.8311,131943.7,6266.5
6463,3122,HAWTHORN,145.0328017,-37.8222114,133542.8,6393.4
6464,3122,HAWTHORN NORTH,145.0216968,-37.8146746,136062.7,6605.5
6465,3122,HAWTHORN WEST,145.0180561,-37.820148,135420.0,6539.8
6466,3123,AUBURN,145.0435616,-37.830327,131841.9,6224.2
6467,3123,HAWTHORN EAST,145.0520938,-37.8310813,130980.3,6149.8
6468,3124,CAMBERWELL,145.0658766,-37.8334095,131498.1,6208.0
6469,3124,CAMBERWELL NORTH,145.0581423,-37.8243246,131434.1,6244.2
6470,3124,CAMBERWELL SOUTH,145.0658766,-37.8334095,131498.1,6208.0
6471,3124,CAMBERWELL WEST,145.0540534,-37.8438471,129234.2,5985.6
6472,3124,HARTWELL,145.075599,-37.84407,131793.9,6245.6
6473,3124,MIDDLE CAMBERWELL,145.056869,-37.8440237,129479.3,6017.5
6474,3125,BENNETTSWOOD,145.118974,-37.854515,125446.1,5948.2
6475,3125,BURWOOD,145.1099967,-37.8483275,127041.2,6118.9
6476,3125,SURREY HILLS SOUTH,145.0972417,-37.8259381,129598.9,6377.4
6477,3126,CAMBERWELL EAST,145.0693815,-37.8251441,132924.7,6392.9
6478,3126,CANTERBURY,145.0741474,-37.8245223,133311.9,6412.7
6479,3127,MONT ALBERT,145.11,-37.816111,130861.1,6483.4
6480,3127,SURREY HILLS,145.0972417,-37.8259381,129598.9,6377.4
6481,3127,SURREY HILLS NORTH,145.0972417,-37.8259381,129598.9,6377.4
6482,3128,BOX HILL,145.1238563,-37.8181073,129570.4,6343.9
6483,3128,BOX HILL CENTRAL,145.1238563,-37.8181073,129570.4,6343.9
6484,3128,BOX HILL SOUTH,145.124,-37.836,127895.9,6190.5
6485,3128,HOUSTON,145.1300661,-37.8448939,127433.5,6125.8
6486,3128,WATTLE PARK,145.1056319,-37.8383693,129231.6,6395.1
6487,3129,BOX HILL NORTH,145.125759,-37.8083033,134986.1,6278.1
6488,3129,KERRIMUIR,145.1326143,-37.8025133,133803.9,6257.6
6489,3129,MONT ALBERT NORTH,145.113889,-37.808056,136225.7,6421.3
6490,3130,BLACKBURN,145.1530529,-37.8197129,128842.7,6327.9
6491,3130,BLACKBURN NORTH,145.1586444,-37.8064051,131448.7,6210.8
6492,3130,BLACKBURN SOUTH,145.144,-37.838,125440.8,6362.9
6493,3130,LABURNUM,145.1453744,-37.8211429,129230.2,6379.4
6494,3131,BRENTFORD SQUARE,145.1840103,-37.8370056,124948.3,5917.6
6495,3131,FOREST HILL,145.1727369,-37.8347413,125850.6,5961.9
6496,3131,NUNAWADING,145.1760206,-37.8184273,128364.6,6102.6
